City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tasiilaq,98,GL,1624473168,68,65.6145,-37.6368,8.09,1.92
Port Alfred,92,ZA,1624473169,74,-33.5906,26.891,16.88,6.05
Albany,5,US,1624473009,43,42.6001,-73.9662,22.67,0.45
Khandyga,100,RU,1624473169,81,62.6667,135.6,15.0,2.24
Northam,100,GB,1624473170,86,51.0333,-4.2167,16.68,2.07
Lázaro Cárdenas,100,MX,1624473002,68,17.9583,-102.2,29.82,2.72
Vaini,90,TO,1624473170,83,-21.2,-175.2,20.09,6.69
Atuona,9,PF,1624473171,79,-9.8,-139.0333,25.85,6.69
Punta Arenas,75,CL,1624473171,87,-53.15,-70.9167,5.01,2.57
Guarapari,0,BR,1624473171,73,-20.6667,-40.4975,26.06,6.11
Saint-François,100,FR,1624473172,68,46.4154,3.9054,20.69,2.06
Ukiah,1,US,1624473172,56,39.1502,-123.2078,30.8,2.57
Kumul,88,CN,1624473173,26,42.8,93.45,24.36,1.86
Los Llanos de Aridane,75,ES,1624473173,68,28.6585,-17.9182,22.0,7.2
Meulaboh,48,ID,1624473174,82,4.1363,96.1285,24.46,1.91
Hasaki,100,JP,1624473174,78,35.7333,140.8333,19.22,2.21
Qaanaaq,100,GL,1624473175,48,77.484,-69.3632,8.91,2.84
Nikolskoye,7,RU,1624473175,51,59.7035,30.7861,28.94,4.47
Sayula,100,MX,1624473175,75,19.8667,-103.6167,22.51,0.42
Thompson,75,CA,1624472919,52,55.7435,-97.8558,19.09,4.63
Camacha,40,PT,1624473176,64,33.0833,-16.3333,18.68,7.2
Coquimbo,75,CL,1624473117,82,-29.9533,-71.3436,12.85,2.57
Āsosa,100,ET,1624473177,88,10.0667,34.5333,16.58,0.66
Nālūt,2,LY,1624473177,12,30.3333,10.85,35.81,3.99
Arraial do Cabo,20,BR,1624473177,68,-22.9661,-42.0278,23.98,4.63
Floriano,74,BR,1624473178,23,-6.7669,-43.0225,36.4,3.17
Walvis Bay,0,NA,1624473178,72,-22.9575,14.5053,16.0,2.57
Santa Vitória do Palmar,100,BR,1624473179,81,-33.5189,-53.3681,15.85,7.82
Narsaq,100,GL,1624473179,88,60.9167,-46.05,9.12,3.88
Rikitea,10,PF,1624473180,74,-23.1203,-134.9692,24.25,5.45
Glenwood Springs,90,US,1624473145,25,39.5505,-107.3248,28.56,2.57
Anchorage,1,US,1624473121,66,61.2181,-149.9003,17.46,0.45
Molochnoye,73,RU,1624473180,63,59.2917,39.6787,23.65,3.38
Sawtell,100,AU,1624473181,77,-30.3833,153.1,17.88,4.63
Puerto Ayora,20,EC,1624473181,69,-0.7393,-90.3518,27.0,6.17
Lavrentiya,100,RU,1624473182,74,65.5833,-171.0,9.22,0.8
Atherton,100,GB,1624473182,86,53.5237,-2.4935,15.75,1.79
Dikson,100,RU,1624473183,92,73.5069,80.5464,1.46,4.77
Kwinana,0,AU,1624473073,77,-32.25,115.7667,7.3,3.13
Hilo,90,US,1624472902,77,19.7297,-155.09,26.27,3.09
Cape Town,75,ZA,1624472896,80,-33.9258,18.4232,13.94,1.03
Cayenne,75,GF,1624473184,78,4.9333,-52.3333,29.02,1.34
Morant Bay,98,JM,1624473185,67,17.8815,-76.4093,30.79,4.6
Cherskiy,6,RU,1624473185,47,68.75,161.3,11.79,2.61
Matagami,20,CA,1624472958,42,49.7502,-77.6328,18.06,6.69
Buluang,100,PH,1624473186,86,13.3068,123.3425,25.88,0.91
Arlit,13,NE,1624473186,14,18.7369,7.3853,36.07,2.76
Perbaungan,40,ID,1624473187,94,3.5679,98.956,26.0,1.54
Lompoc,1,US,1624473187,64,34.6391,-120.4579,21.67,2.57
Hofn,75,IS,1624472879,47,64.2539,-15.2082,13.0,5.66
Tuktoyaktuk,90,CA,1624473188,87,69.4541,-133.0374,7.0,1.54
Poya,80,NC,1624473188,74,-21.35,165.15,17.52,2.08
Tabou,100,CI,1624473189,91,4.423,-7.3528,24.49,4.92
Saint Anthony,1,US,1624473189,58,45.0205,-93.218,29.46,1.79
Longyearbyen,75,SJ,1624473190,87,78.2186,15.6401,2.91,6.17
Raja,100,SS,1624473190,98,8.4596,25.678,20.69,2.58
Balyqshy,0,KZ,1624473191,18,47.0667,51.8667,28.0,4.0
San Felipe,100,VE,1624473191,80,10.3399,-68.7425,27.45,1.41
Mahébourg,40,MU,1624473191,64,-20.4081,57.7,21.16,5.14
Maningrida,57,AU,1624473192,96,-12.0667,134.2667,22.27,2.75
Pangnirtung,90,CA,1624473192,81,66.1451,-65.7125,4.0,6.17
Khatanga,99,RU,1624473193,43,71.9667,102.5,13.13,4.48
Chokurdakh,19,RU,1624473193,35,70.6333,147.9167,21.21,2.62
San Ignacio,75,BZ,1624473194,62,17.1561,-89.0714,34.08,2.06
Iqaluit,90,CA,1624473194,75,63.7506,-68.5145,4.85,2.24
Kloulklubed,40,PW,1624473194,94,7.0419,134.2556,24.0,1.95
Kapaa,75,US,1624473195,85,22.0752,-159.319,25.99,0.45
Lorengau,40,PG,1624473195,79,-2.0226,147.2712,26.89,1.76
Valparai,75,IN,1624473196,94,10.3667,76.9667,24.0,2.06
Chui,100,UY,1624473196,81,-33.6971,-53.4616,15.65,7.95
Mahon,40,ES,1624473196,78,39.8885,4.2658,23.31,4.63
Kamenka,28,RU,1624473197,61,51.3223,42.7678,23.87,1.72
Asău,100,RO,1624473197,85,46.4333,26.4,20.0,2.66
Ilulissat,75,GL,1624473198,82,69.2167,-51.1,13.01,8.23
Carnarvon,1,AU,1624473198,55,-24.8667,113.6333,7.04,4.12
Kruisfontein,100,ZA,1624473199,80,-34.0033,24.7314,14.38,4.49
Ushuaia,20,AR,1624473199,87,-54.8,-68.3,2.81,0.51
Ojuelos de Jalisco,100,MX,1624473199,76,21.8667,-101.5833,16.24,4.43
Cabo San Lucas,20,MX,1624473200,54,22.8909,-109.9124,35.45,4.63
Vestmannaeyjar,0,IS,1624473200,51,63.4427,-20.2734,15.55,8.23
Kalāleh,0,IR,1624473201,54,37.3807,55.4916,29.78,5.14
New Norfolk,8,AU,1624473201,84,-42.7826,147.0587,7.78,1.05
Jamestown,40,US,1624473018,42,42.097,-79.2353,21.71,3.6
Airai,46,TL,1624473202,95,-8.9266,125.4092,14.97,0.6
Araouane,77,ML,1624473202,18,18.9048,-3.5265,37.99,4.39
Ribeira Grande,75,PT,1624473203,64,38.5167,-28.7,22.22,4.12
Whitianga,63,NZ,1624473203,81,-36.8333,175.7,8.09,1.39
Constantine,40,DZ,1624473023,60,36.365,6.6147,23.0,5.14
Yellowknife,75,CA,1624473204,47,62.456,-114.3525,12.0,6.17
Pevek,8,RU,1624473205,77,69.7008,170.3133,3.71,1.76
Dalby,100,AU,1624473205,83,-27.1833,151.2667,12.78,0.89
Busselton,85,AU,1624473205,68,-33.65,115.3333,8.91,2.62
Nelson Bay,100,AU,1624473206,89,-32.7167,152.15,14.5,4.11
Karratha,5,AU,1624473206,37,-20.7377,116.8463,14.74,6.04
Varhaug,37,NO,1624473207,76,58.6147,5.6457,15.47,4.98
Lebu,15,CL,1624473207,74,-37.6167,-73.65,11.86,3.78
Mount Isa,90,AU,1624473208,64,-20.7333,139.5,20.87,5.66
Verāval,87,IN,1624473208,77,20.9,70.3667,28.79,5.04
Hermanus,100,ZA,1624473208,68,-34.4187,19.2345,12.17,1.76
Ahipara,3,NZ,1624473209,82,-35.1667,173.1667,8.45,1.52
Bethel,40,US,1624473209,37,41.3712,-73.414,23.33,2.57
College,40,US,1624473013,56,64.8569,-147.8028,23.04,3.09
Ponta do Sol,35,PT,1624473210,50,32.6667,-17.1,21.18,2.04
Rantauprapat,72,ID,1624473210,88,2.1,99.8333,23.05,1.15
Palu,31,ID,1624473211,93,-0.8917,119.8707,23.69,1.25
Ponta Delgada,75,PT,1624473211,64,37.7333,-25.6667,20.4,2.06
Mgandu,68,TZ,1624473211,56,-5.95,34.1333,16.48,2.92
Xining,100,CN,1624473212,57,36.6167,101.7667,17.72,1.14
Maniitsoq,100,GL,1624473212,97,65.4167,-52.9,4.65,11.31
Quatre Cocos,40,MU,1624473213,64,-20.2078,57.7625,21.0,5.14
Karasjok,0,NO,1624473213,54,69.4719,25.5112,13.0,4.12
Bengkulu,100,ID,1624473214,90,-3.8004,102.2655,24.04,1.97
Upernavik,0,GL,1624473214,53,72.7868,-56.1549,9.33,4.74
Barrow,1,US,1624473214,70,71.2906,-156.7887,6.01,3.6
Severo-Kuril'sk,22,RU,1624473215,89,50.6789,156.125,6.59,2.73
Saint-Augustin,100,CA,1624473215,96,51.226,-58.6502,13.68,3.42
Hobart,32,AU,1624473216,87,-42.8794,147.3294,11.17,1.34
Kavaratti,61,IN,1624473216,76,10.5669,72.642,28.21,7.23
Haines Junction,0,CA,1624473217,51,60.7522,-137.5108,15.97,1.03
Lüderitz,0,NA,1624473218,75,-26.6481,15.1594,14.18,5.0
Portales,1,US,1624472978,18,34.1862,-103.3344,37.22,5.66
Castro,91,BR,1624473219,73,-24.7911,-50.0119,15.33,3.81
Monte Carmelo,22,BR,1624473219,27,-18.7247,-47.4986,28.23,2.53
Sobolevo,43,RU,1624473220,72,54.4299,31.8996,23.71,3.06
Kurumkan,15,RU,1624473220,67,54.3,110.3,18.4,1.41
Kutum,98,SD,1624473221,35,14.2,24.6667,27.13,1.59
Umm Kaddadah,100,SD,1624473221,37,13.6017,26.6876,29.33,4.65
Jhanjhārpur,49,IN,1624473221,84,26.2667,86.2833,27.25,3.41
Mataura,100,NZ,1624473222,94,-46.1927,168.8643,7.49,1.56
Tiksi,100,RU,1624473222,87,71.6872,128.8694,1.76,7.78
Faanui,17,PF,1624473223,74,-16.4833,-151.75,26.78,5.37
Banda Aceh,99,ID,1624473223,78,5.5577,95.3222,26.21,3.8
Cidreira,100,BR,1624473224,84,-30.1811,-50.2056,17.11,8.66
Praia da Vitória,40,PT,1624473224,56,38.7333,-27.0667,22.0,1.57
Luanda,40,AO,1624473225,83,-8.8368,13.2343,24.0,4.63
Turbat,0,PK,1624473225,52,26.0023,63.044,30.79,4.4
Bambous Virieux,40,MU,1624473226,64,-20.3428,57.7575,21.14,5.14
Vao,67,NC,1624473226,55,-22.6667,167.4833,21.47,7.92
Krasnosel'kup,16,RU,1624473226,81,65.7,82.4667,5.72,3.2
São Filipe,33,CV,1624473227,78,14.8961,-24.4956,23.69,3.83
Saint Paul Harbor,90,US,1624472992,87,57.79,-152.4072,9.73,13.38
Leh,77,IN,1624473227,32,34.1667,77.5833,11.78,2.54
Korem,0,ET,1624473228,49,12.5058,39.5228,17.42,1.93
Smirnykh,100,RU,1624473228,77,49.75,142.8333,13.76,1.14
Trimbak,100,IN,1624473229,83,19.9333,73.55,22.1,3.14
Vila Franca do Campo,91,PT,1624473229,68,37.7167,-25.4333,20.23,0.62
Kirakira,94,SB,1624473230,85,-10.4544,161.9205,25.74,4.97
Presidencia Roque Sáenz Peña,100,AR,1624473230,76,-26.7852,-60.4388,21.99,1.61
Impfondo,55,CG,1624473231,93,1.6381,18.0667,21.64,0.75
Gimli,100,CA,1624473231,32,50.6336,-96.9907,30.03,7.2
Bluff,100,NZ,1624473231,83,-46.6,168.3333,7.67,5.62
Crib Point,95,AU,1624473232,89,-38.35,145.2,13.22,6.46
Chara,9,RU,1624473232,70,56.9064,118.2631,15.97,0.23
Boyolangu,67,ID,1624473233,93,-8.1181,111.8935,23.64,0.78
Avarua,20,CK,1624473233,94,-21.2078,-159.775,20.03,1.03
Hidrolândia,51,BR,1624473234,24,-4.4081,-40.4378,35.25,3.13
Amahai,88,ID,1624473234,87,-3.3333,128.9167,24.72,1.33
Porosozero,44,RU,1624473234,66,62.7191,32.727,24.32,2.24
Filingué,16,NE,1624473235,33,14.3521,3.3168,34.61,1.89
Rosarito,82,MX,1624473235,69,32.3333,-117.0333,26.1,4.8
Butaritari,29,KI,1624473237,67,3.0707,172.7902,29.26,6.21
Souillac,40,MU,1624473237,64,-20.5167,57.5167,21.21,5.14
Forssa,6,FI,1624473238,82,60.8146,23.6215,22.3,1.71
Shelburne,5,CA,1624473238,25,44.0787,-80.2041,22.59,4.88
Srednekolymsk,81,RU,1624473239,57,67.45,153.6833,17.08,1.95
Saint-Philippe,43,RE,1624473239,70,-21.3585,55.7679,19.77,5.09
Ust'-Kut,52,RU,1624473240,90,56.7938,105.7672,15.97,0.89
General Delgado,100,PY,1624473240,68,-27.1667,-56.5167,23.01,5.3
Mossamedes,33,AO,1624473240,90,-15.1961,12.1522,19.59,2.22
Caravelas,0,BR,1624473241,71,-17.7125,-39.2481,23.84,5.99
Sam Roi Yot,100,TH,1624473241,79,12.2708,99.872,29.98,3.14
Zheshart,0,RU,1624473242,62,62.0731,49.5733,22.35,1.38
Bulungu,10,CD,1624473242,59,-4.55,18.6,24.04,1.39
Saldanha,100,ZA,1624473243,87,-33.0117,17.9442,12.0,1.03
Husavik,96,IS,1624473243,87,66.0449,-17.3389,8.95,3.77
Ferme-Neuve,100,CA,1624473244,38,46.7001,-75.4493,18.88,4.58
Praia,75,CV,1624473244,61,14.9215,-23.5087,27.3,7.2
Dwārka,72,IN,1624473245,66,22.2394,68.9678,29.35,6.94
Richards Bay,100,ZA,1624473245,59,-28.783,32.0377,17.74,2.05
Dzhebariki-Khaya,100,RU,1624473245,89,62.2167,135.8,14.55,2.74
Manggar,100,ID,1624473246,83,-2.8833,108.2667,25.63,0.4
Bredasdorp,100,ZA,1624473246,87,-34.5322,20.0403,11.62,2.57
Dawlatabad,0,AF,1624473247,13,36.4141,64.9053,26.37,2.13
Derzhavīnsk,5,KZ,1624473247,61,51.1,66.3167,13.07,3.42
Mehamn,51,NO,1624473248,71,71.0357,27.8492,11.1,4.57
Padang,8,ID,1624473248,73,-0.9492,100.3543,24.28,1.96
Port Elizabeth,0,ZA,1624473216,77,-33.918,25.5701,15.0,6.17
Beringovskiy,94,RU,1624473249,75,63.05,179.3167,7.36,3.2
Torbay,75,CA,1624473249,85,47.6666,-52.7314,26.05,9.26
Takaoka,98,JP,1624473250,85,36.75,137.0167,19.6,0.45
Esperance,99,AU,1624473250,69,-33.8667,121.9,10.91,8.1
Pouébo,36,NC,1624473251,67,-20.4,164.5667,19.75,6.34
Sur,0,OM,1624473251,62,22.5667,59.5289,30.42,5.45
Nakhon Nayok,100,TH,1624473252,99,14.1667,101.1,27.78,0.14
Simao,100,CN,1624473252,98,22.7886,100.9748,19.1,0.81
Yeppoon,57,AU,1624473253,76,-23.1333,150.7333,16.88,3.0
Erenhot,100,CN,1624473253,48,43.6475,111.9767,22.39,4.62
San Patricio,38,US,1624473254,50,28.017,-97.5169,32.4,6.05
Aklavik,20,CA,1624473254,48,68.2191,-135.0107,19.4,3.6
Shamary,7,RU,1624473255,68,57.3434,58.2199,11.33,1.64
Slave Lake,75,CA,1624473008,63,55.2834,-114.769,18.0,6.17
Dali,100,CN,1624473255,93,25.7,100.1833,17.77,2.08
Grindavik,0,IS,1624473256,62,63.8424,-22.4338,12.0,8.23
Kamaishi,99,JP,1624473256,91,39.2667,141.8833,16.63,2.48
Olafsvik,2,IS,1624473257,70,64.8945,-23.7142,8.9,5.1
Waipawa,99,NZ,1624473257,90,-41.4122,175.5153,10.25,3.04
Port Blair,100,IN,1624473257,80,11.6667,92.75,28.02,6.25
Constitución,57,CL,1624473258,85,-35.3333,-72.4167,12.33,4.05
Pandan,100,PH,1624473258,80,14.0453,124.1694,27.07,2.48
Owerri,63,NG,1624473259,97,5.4833,7.0304,22.54,1.79
Novozybkov,27,RU,1624473259,90,52.5396,31.9275,29.85,3.12
Fortuna,20,US,1624473260,76,40.5982,-124.1573,26.34,1.79
Coracora,39,PE,1624473260,29,-15.0333,-73.7833,16.86,4.53
Kaeo,4,NZ,1624473261,96,-35.1,173.7833,5.18,1.37
Paamiut,100,GL,1624473261,92,61.994,-49.6678,7.63,12.95
Geraldton,0,AU,1624473075,87,-28.7667,114.6,7.23,3.09
Galveston,1,US,1624473262,74,29.3669,-94.9669,33.89,4.12
Kulhudhuffushi,100,MV,1624473262,77,6.6221,73.07,27.84,6.84
La Ronge,99,CA,1624473263,45,55.1001,-105.2842,19.0,7.72
Carahue,19,CL,1624473263,71,-38.7,-73.1667,12.11,2.61
Katsuura,100,JP,1624473264,82,35.1333,140.3,21.77,3.97
Arawa,91,PG,1624473264,91,-6.2132,155.5367,24.81,1.36
Bilma,87,NE,1624473265,12,18.6853,12.9164,37.26,2.53
Florida,1,US,1624473265,73,28.7505,-82.5001,32.21,2.06
Flinders,100,AU,1624473265,82,-34.5833,150.8552,14.65,0.45
Paita,9,PE,1624473266,70,-5.0892,-81.1144,26.31,6.98
Taclobo,100,PH,1624473266,78,12.3074,122.586,28.08,3.4
Luebo,20,CD,1624473267,43,-5.35,21.4167,24.47,0.2
Ust-Tsilma,14,RU,1624473267,82,65.441,52.1498,17.12,3.55
Mbaïki,88,CF,1624473268,98,3.8678,17.9892,20.1,0.8
Nanortalik,100,GL,1624473268,83,60.1432,-45.2371,9.01,8.28
Kautokeino,28,NO,1624473269,52,69.0125,23.0412,14.79,3.33
Natal,40,BR,1624473269,58,-5.795,-35.2094,29.36,7.72
Nouadhibou,20,MR,1624473270,64,20.931,-17.0347,23.0,10.8
Pedernales,100,DO,1624473270,62,18.0384,-71.744,30.41,4.51
Fallon,20,US,1624473271,20,39.4735,-118.7774,29.44,5.14
Colares,20,PT,1624473271,59,38.7992,-9.4469,22.82,10.29
Serebryansk,100,KZ,1624473272,96,49.6925,83.2892,11.75,3.68
Cortez,75,US,1624473272,23,37.3489,-108.5859,28.42,4.12
Poum,68,NC,1624473272,61,-20.2333,164.0167,22.11,6.17
South Lake Tahoe,1,US,1624473046,30,38.9332,-119.9844,26.51,2.57
San Quintín,10,MX,1624473273,70,30.4833,-115.95,22.12,5.39
Doctor Phillips,75,US,1624473274,60,28.4495,-81.4923,33.34,2.57
Dubbo,90,AU,1624473123,88,-32.25,148.6167,13.07,6.17
Byron Bay,100,AU,1624473274,84,-28.65,153.6167,15.97,3.85
Itarema,9,BR,1624473060,70,-2.9248,-39.9167,28.05,7.69
Balsas,57,BR,1624473275,44,-7.5325,-46.0356,30.33,3.81
Xichang,99,CN,1624473275,85,27.8964,102.2634,19.71,0.56
Goderich,68,CA,1624473155,37,43.7501,-81.7165,22.34,4.63
Krasnoarmiys'k,3,UA,1624473276,70,48.282,37.1758,23.39,4.1
Dunedin,100,NZ,1624473276,84,-45.8742,170.5036,7.11,0.45
Otta,100,NO,1624473277,54,61.7712,9.5353,20.58,1.5
Listvyanka,0,RU,1624473277,94,51.8535,104.8693,13.0,4.0
Champerico,100,GT,1624473277,79,14.3,-91.9167,29.87,4.88
Llangefni,90,GB,1624473278,90,53.2556,-4.3106,14.25,3.6
Fairbanks,1,US,1624473278,53,64.8378,-147.7164,23.6,3.6
Arti,6,RU,1624473129,66,56.4234,58.5328,12.27,2.17
Makakilo City,75,US,1624473279,65,21.3469,-158.0858,26.0,2.06
Pachmarhi,99,IN,1624473279,92,22.4667,78.4333,21.04,1.88
Santa Cruz de Barahona,40,DO,1624473280,58,18.2085,-71.1008,31.9,7.72
Baillif,11,GP,1624473280,72,16.0202,-61.7463,27.72,6.52
Oudtshoorn,100,ZA,1624473281,83,-33.5907,22.2014,11.2,2.43
Huntingdon,76,GB,1624473007,62,52.3305,-0.1865,20.39,0.76
Vila,4,PT,1624473281,59,42.0304,-8.1588,17.08,2.84
Xiaoshan,0,CN,1624473281,69,30.1675,120.2588,24.92,2.0
Alta Floresta,40,BR,1624473282,28,-9.8756,-56.0861,35.9,2.57
Naze,0,JP,1624473282,76,28.3667,129.4833,22.37,2.66
Ucluelet,60,CA,1624473050,84,48.9329,-125.5528,22.75,0.45
Kitimat,97,CA,1624473283,71,54.0524,-128.6534,20.51,1.35
Hong Kong,100,HK,1624473117,85,22.2855,114.1577,27.22,2.16
Macao,40,MO,1624473284,83,22.2006,113.5461,27.26,4.12
Takoradze,89,GH,1624473197,86,4.8845,-1.7554,25.02,3.27
Clyde River,90,CA,1624473284,100,70.4692,-68.5914,2.13,8.23
Tautira,33,PF,1624473285,75,-17.7333,-149.15,27.01,2.83
Nouakchott,96,MR,1624473285,53,18.0858,-15.9785,30.96,10.86
Port Macquarie,100,AU,1624473286,80,-31.4333,152.9167,11.98,3.48
Ila,100,NO,1624473286,71,63.4305,10.3705,15.84,1.34
