City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Alugan,100,PH,1624473287,84,12.2188,125.4808,26.49,3.89
Cervo,47,ES,1624473287,77,43.6702,-7.4101,17.33,5.01
Imeni Poliny Osipenko,94,RU,1624473292,88,52.4201,136.4853,7.65,2.18
Krasnovishersk,98,RU,1624473292,69,60.4078,57.082,14.0,0.62
Kaitangata,100,NZ,1624473293,79,-46.2817,169.8464,7.18,3.35
Port-Cartier,75,CA,1624473293,55,50.0334,-66.8654,17.0,6.17
Altamira,40,BR,1624473166,58,-3.2033,-52.2064,32.05,1.54
Leningradskiy,11,RU,1624473294,68,69.3833,178.4167,6.63,2.54
Luang Prabang,100,LA,1624473294,96,19.8856,102.1347,23.99,0.93
Cockburn Town,20,TC,1624473295,65,21.4612,-71.1419,28.98,7.72
San Jerónimo,15,PE,1624473295,35,-11.9472,-75.2829,17.49,0.39
Yar-Sale,100,RU,1624473295,80,66.8333,70.8333,5.44,1.68
Ola,100,RU,1624473296,92,59.5833,151.2833,8.87,1.56
Ancud,98,CL,1624473296,71,-41.8697,-73.8203,9.68,5.35
Mapiripán,100,CO,1624473297,95,2.8892,-72.1256,23.22,1.65
Ichinohe,100,JP,1624473297,98,40.2069,141.3017,15.76,1.71
Alofi,100,NU,1624473298,94,-19.0595,-169.9187,20.94,1.03
Petropavlovsk-Kamchatskiy,40,RU,1624473298,100,53.0452,158.6483,5.33,3.0
Panjakent,0,TJ,1624473299,32,39.4952,67.6093,21.89,1.31
Mar del Plata,90,AR,1624473299,63,-38.0023,-57.5575,15.0,7.15
Port Lincoln,47,AU,1624473299,78,-34.7333,135.8667,13.32,11.74
São João da Barra,20,BR,1624473300,64,-21.6403,-41.0511,24.0,6.17
Bull Savanna,77,JM,1624473300,73,17.8868,-77.5902,26.89,4.93
Hithadhoo,100,MV,1624473301,69,-0.6,73.0833,28.48,4.22
Beeville,40,US,1624473235,74,28.4008,-97.7483,32.0,2.57
Contamana,69,PE,1624473302,40,-7.3333,-75.0167,33.22,1.38
Yulara,0,AU,1624473302,87,-25.2406,130.9889,3.91,1.54
George Town,40,MY,1624473302,92,5.4112,100.3354,26.05,2.68
Mahon,40,ES,1624473303,78,39.8885,4.2658,23.31,4.63
Preston,75,GB,1624473304,81,53.7667,-2.7167,15.99,2.57
Puro,100,PH,1624473304,78,12.4841,123.3827,27.18,2.14
Koutiala,67,ML,1624473305,42,12.3917,-5.4642,32.4,5.31
Ubajara,41,BR,1624473249,41,-3.8544,-40.9211,27.5,1.16
Katherine,75,AU,1624473305,83,-14.4667,132.2667,23.0,2.57
Pontes e Lacerda,84,BR,1624473306,23,-15.2261,-59.3353,35.17,3.57
Hualmay,45,PE,1624473306,70,-11.0964,-77.6139,20.29,6.76
East London,20,ZA,1624473307,88,-33.0153,27.9116,15.52,5.14
Nichinan,0,JP,1624473307,87,31.6,131.3667,20.68,1.89
Mobaye,100,CF,1624473307,96,4.319,21.1786,20.31,0.48
Bandarbeyla,100,SO,1624473308,80,9.4942,50.8122,25.0,13.41
Yuancheng,80,CN,1624473308,47,36.652,107.7896,19.66,2.0
Sopela,75,ES,1624473309,85,43.3789,-2.9831,15.94,1.79
Olaszliszka,0,HU,1624473309,61,48.25,21.4333,29.0,3.6
Huaidian,95,CN,1624473310,54,33.4333,115.0333,25.64,3.27
Yangjiang,100,CN,1624473310,93,21.85,111.9667,25.39,0.81
Zhezkazgan,25,KZ,1624473310,71,47.8043,67.7144,18.53,5.27
Sarh,0,TD,1624473311,83,9.1429,18.3923,24.95,0.0
Tessalit,13,ML,1624473311,9,20.1986,1.0114,37.77,1.48
Dingle,100,PH,1624473312,90,10.9995,122.6711,24.69,1.74
Nome,90,US,1624473313,77,64.5011,-165.4064,16.11,2.06
Sulangan,100,PH,1624473313,76,11.1373,123.7228,28.31,2.4
Prado,0,BR,1624473313,70,-17.3411,-39.2208,24.25,6.11
Lagoa,18,PT,1624473314,76,39.05,-27.9833,19.46,5.26
Atikokan,81,CA,1624473313,34,48.7555,-91.6216,25.72,6.92
Rio Grande,40,BR,1624473315,82,-32.035,-52.0986,18.0,8.23
Sorong,29,ID,1624473316,90,-0.8833,131.25,24.95,3.69
Punta Alta,100,AR,1624473316,75,-38.8759,-62.0736,13.26,3.4
Jalu,0,LY,1624473316,16,29.0331,21.5482,36.3,2.96
Rome,20,US,1624473199,45,43.2128,-75.4557,20.0,4.63
Osório,100,BR,1624473317,64,-29.8867,-50.2697,21.67,0.45
Mayfield,1,US,1624473318,49,36.7417,-88.6367,26.91,0.0
Kieta,95,PG,1624473318,86,-6.2167,155.6333,25.75,1.93
Kahului,20,US,1624473319,65,20.8947,-156.47,26.0,6.17
Yenagoa,82,NG,1624473319,97,4.9247,6.2642,22.7,1.93
Bozova,0,TR,1624473320,41,37.3625,38.5267,27.51,7.08
Broken Hill,0,AU,1624473320,87,-31.95,141.4333,9.84,6.69
Zinder,40,NE,1624473321,38,13.8072,8.9881,33.0,5.14
Burē,47,ET,1624473321,88,10.7,37.0667,14.72,0.91
Debre Birhan,12,ET,1624473322,57,9.6833,39.5333,13.62,1.94
Beloha,0,MG,1624473322,79,-25.1667,45.05,17.77,3.49
Vigia,41,BR,1624473323,79,-0.8583,-48.1417,25.03,3.29
Macaé,40,BR,1624473323,69,-22.3708,-41.7869,23.93,6.17
Dumai,100,ID,1624473324,91,1.6833,101.45,24.42,1.18
Bambanglipuro,81,ID,1624473324,91,-7.95,110.2833,14.44,2.72
Chernyshevskiy,49,RU,1624473324,69,63.0128,112.4714,16.92,1.5
Arman',100,RU,1624473325,91,59.7,150.1667,9.04,1.73
Tete,20,MZ,1624473325,57,-16.1564,33.5867,24.05,2.06
Port Moresby,40,PG,1624473326,88,-9.4431,147.1797,24.0,2.06
Acaraú,8,BR,1624473326,69,-2.8856,-40.12,28.22,7.75
Touros,20,BR,1624473327,64,-5.1989,-35.4608,29.5,7.29
Honningsvåg,75,NO,1624473327,66,70.9821,25.9704,11.0,4.63
Gizo Government Station,56,SB,1624473328,81,-8.103,156.8419,26.97,7.14
Tsimmerbude,86,RU,1624473328,79,54.675,20.1347,20.03,3.08
Amapá,58,BR,1624473329,47,1.0,-52.0,31.29,1.48
Morros,52,BR,1624473329,38,-9.4467,-46.3003,30.62,4.61
Béboto,21,TD,1624473330,78,8.2668,16.939,23.02,0.45
Helong,6,CN,1624473330,82,42.5397,128.9972,12.71,2.02
Mujiayingzi,19,CN,1624473331,80,42.1167,118.7833,16.97,1.55
Tabuny,100,RU,1624473331,96,52.7773,78.7896,11.69,5.3
Salina,1,US,1624473142,55,38.8403,-97.6114,31.67,8.75
Clonakilty,75,IE,1624473332,72,51.6231,-8.8706,18.33,4.12
Kemijärvi,100,FI,1624473333,86,66.7131,27.4306,13.38,2.73
Arona,40,ES,1624473333,64,28.0996,-16.681,19.29,2.24
Shepetivka,100,UA,1624473334,94,50.1855,27.0637,19.68,5.27
Manuk Mangkaw,100,PH,1624473335,70,4.8,119.85,28.75,2.5
Vestmanna,90,FO,1624473335,87,62.1564,-7.1664,8.51,3.6
Fartura,68,BR,1624473336,54,-23.3883,-49.51,21.13,4.42
Tura,99,IN,1624473336,97,25.5198,90.2201,23.28,2.35
Porto-Novo,99,BJ,1624473336,80,6.4965,2.6036,27.9,2.98
Acapulco de Juárez,75,MX,1624473235,70,16.8634,-99.8901,30.9,3.6
Mariehamn,90,AX,1624473337,94,60.0973,19.9348,12.92,3.6
Parkersburg,20,US,1624473337,56,39.2667,-81.5615,24.99,0.89
Ribas do Rio Pardo,16,BR,1624473338,29,-20.4431,-53.7592,31.89,5.08
Dunmore East,40,IE,1624473338,72,52.1514,-6.9861,18.68,3.6
Vysokogornyy,100,RU,1624473338,96,50.1167,139.15,13.28,0.74
Jijiga,68,ET,1624473340,70,9.35,42.8,17.42,6.88
Aswān,0,EG,1624473340,13,24.0934,32.907,34.41,5.26
Ixtapa,90,MX,1624473224,83,20.7,-105.2,26.57,2.06
Turan,20,VN,1624473341,79,16.0678,108.2208,30.03,1.54
Avera,40,US,1624473341,45,33.194,-82.5271,29.0,2.06
Mana,98,GF,1624473341,69,5.6592,-53.7767,28.41,4.87
Codrington,2,AU,1624473342,94,-38.2667,141.9667,6.73,4.09
Ploemeur,75,FR,1624473090,55,47.7333,-3.4333,19.05,5.14
Lincoln,1,US,1624473343,54,40.8,-96.667,32.03,0.89
Dimbokro,100,CI,1624473343,96,6.6451,-4.7048,23.1,2.4
Neuquén,40,AR,1624473296,76,-38.9516,-68.0591,11.94,2.57
Lae,100,PG,1624473344,86,-6.7221,146.9847,23.39,2.69
Harar,49,ET,1624473344,73,9.3094,42.1258,15.82,3.5
Ossora,59,RU,1624473345,70,59.2353,163.0719,11.77,0.88
Pisco,75,PE,1624473345,64,-13.7,-76.2167,21.03,7.72
Salalah,90,OM,1624473346,83,17.0151,54.0924,27.0,2.57
Tabuk,100,PH,1624473346,96,17.4189,121.4443,23.21,0.18
Christchurch,98,NZ,1624473204,96,-43.5333,172.6333,4.39,1.03
Auki,57,SB,1624473347,90,-8.7676,160.7034,24.52,2.81
Adeje,40,ES,1624473347,65,28.1227,-16.726,21.62,2.24
Mayumba,100,GA,1624473348,87,-3.432,10.6554,23.22,2.2
Jacqueville,84,CI,1624473348,87,5.2052,-4.4146,25.95,3.64
Broome,75,US,1624473349,51,42.2506,-75.833,22.27,1.34
Provideniya,95,RU,1624473349,65,64.3833,-173.3,13.42,0.63
Inuvik,20,CA,1624473153,45,68.3499,-133.7218,19.42,1.54
Zyryanka,14,RU,1624473350,53,65.75,150.85,16.83,1.04
Palmer,40,US,1624473284,35,42.1584,-72.3287,22.78,3.6
Kano,100,NG,1624473350,37,12.0001,8.5167,30.75,2.86
Nansio,6,TZ,1624473351,58,-2.1333,33.05,25.11,2.34
Shemordan,40,RU,1624473319,82,56.1856,50.3972,19.98,2.36
Ormara,55,PK,1624473352,80,25.2088,64.6357,28.29,5.6
Tilichiki,96,RU,1624473352,66,60.4667,166.1,10.58,2.22
Saint-Pierre,40,RE,1624473352,70,-21.3393,55.4781,19.82,4.12
Sitka,90,US,1624473353,76,57.0531,-135.33,12.94,1.54
Chapais,75,CA,1624473166,54,49.7834,-74.8492,14.0,6.17
Nang Rong,99,TH,1624473354,79,14.6377,102.7914,25.32,2.05
Tiarei,20,PF,1624473354,74,-17.5333,-149.3333,27.0,1.03
Torrijos,21,ES,1624473355,32,39.9819,-4.2835,25.03,4.59
Bako,32,ET,1624473355,62,5.7833,36.5667,18.9,2.9
Margate,24,GB,1624473356,59,51.3813,1.3862,16.5,3.14
Maragheh,20,IR,1624473356,7,37.3917,46.2398,29.15,4.12
Thinadhoo,38,MV,1624473357,70,0.5333,72.9333,28.46,4.3
North Bend,90,US,1624473357,82,43.4065,-124.2243,16.59,5.14
Saskylakh,33,RU,1624473357,52,71.9167,114.0833,7.37,5.19
Manosque,18,FR,1624473358,52,43.8288,5.7869,25.0,0.45
Sinnamary,100,GF,1624473358,67,5.3833,-52.95,26.63,4.07
Ketchikan,100,US,1624473359,88,55.3422,-131.6461,13.17,0.84
Tevriz,37,RU,1624473359,92,57.509,72.4042,6.8,2.81
Lianzhou,38,CN,1624473360,96,24.7811,112.3825,23.76,0.38
Kupang,11,ID,1624473360,89,-10.1667,123.5833,24.58,2.86
Glazov,23,RU,1624473361,90,58.1394,52.6584,18.68,2.07
Sompeta,99,IN,1624473361,78,18.9333,84.6,28.29,4.47
Talara,0,PE,1624473362,69,-4.5772,-81.2719,26.42,6.69
Dauphin,75,CA,1624473363,64,51.1494,-100.0502,21.0,7.2
Alekseyevsk,72,RU,1624473364,78,57.8406,108.3492,16.92,1.9
Buenavista,100,PH,1624473364,90,8.9769,125.4089,24.48,1.88
Shenjiamen,100,CN,1624473365,83,29.9576,122.298,23.13,2.15
Liverpool,90,GB,1624473259,94,53.4106,-2.9779,16.0,3.09
Mayo,1,US,1624473366,46,38.8876,-76.5119,26.04,0.45
Honiara,27,SB,1624473366,91,-9.4333,159.95,24.94,2.71
Taoudenni,1,ML,1624473367,8,22.6783,-3.9836,41.75,3.81
Punta Gorda,1,US,1624473271,55,26.9298,-82.0454,33.33,2.06
Dybbøl,90,DK,1624473367,82,54.9108,9.736,17.14,2.06
Truth or Consequences,1,US,1624473368,18,33.1284,-107.2528,36.62,3.6
Vila Velha,40,BR,1624473298,63,-20.3297,-40.2925,26.09,7.72
Okha,15,RU,1624473368,93,53.5739,142.9478,6.17,2.65
Whitehorse,20,CA,1624473369,45,60.7161,-135.0538,20.05,5.36
Sidrolândia,25,BR,1624473369,31,-20.9319,-54.9614,30.44,4.77
Harper,100,LR,1624473370,92,4.375,-7.7169,24.32,5.1
Pak Phanang,100,TH,1624473370,71,8.3511,100.202,26.9,2.38
Am Timan,99,TD,1624473371,52,11.0297,20.2827,28.25,3.07
Florianópolis,75,BR,1624473371,60,-27.6146,-48.5012,19.59,2.06
Bathsheba,40,BB,1624473371,54,13.2167,-59.5167,30.34,8.23
Havelock,90,US,1624473287,64,34.8791,-76.9013,26.69,2.68
Tommot,36,RU,1624473372,93,58.9564,126.2925,16.52,1.22
San Cristobal,22,VE,1624473372,42,7.7669,-72.225,28.1,2.9
Ouadda,100,CF,1624473373,97,8.0777,22.4007,20.29,1.49
Kushālgarh,100,IN,1624473373,86,23.199,74.4507,25.44,4.15
Port-Gentil,100,GA,1624473374,82,-0.7193,8.7815,24.44,4.28
Batagay-Alyta,100,RU,1624473374,62,67.8006,130.4114,14.82,2.26
Bairiki Village,40,KI,1624473375,70,1.3292,172.9752,30.0,2.57
Sakakah,0,SA,1624473375,14,29.9697,40.2064,37.76,3.41
Laas,56,IT,1624473376,85,46.6166,10.7002,18.9,2.42
Coihueco,90,CL,1624473376,100,-36.6167,-71.8333,10.0,4.12
Lewiston,40,US,1624473377,40,44.1003,-70.2148,23.18,5.14
Sørland,75,NO,1624473377,87,67.667,12.6934,11.0,6.69
Qaqortoq,100,GL,1624473378,84,60.7167,-46.0333,9.28,3.54
Laguna,1,US,1624473208,50,38.421,-121.4238,31.19,2.24
Babushkin,40,RU,1624473378,94,51.7122,105.8647,10.55,1.67
Morón,90,AR,1624473379,88,-34.6534,-58.6198,15.56,2.06
Katy,1,US,1624473100,66,29.7858,-95.8244,34.95,0.89
Makarov,48,RU,1624473379,77,48.6333,142.8,13.53,2.96
Alice Springs,1,AU,1624473380,100,-23.7,133.8833,5.75,2.57
Nadīgaon,3,IN,1624473380,53,26.1167,79.0333,33.63,4.79
Beni,100,CD,1624473380,81,0.5,29.4667,18.95,0.89
Kavieng,19,PG,1624473381,79,-2.5744,150.7967,27.43,4.32
Bălţi,100,MD,1624473381,87,47.7617,27.9289,27.03,0.83
Dourados,100,BR,1624473382,41,-22.2211,-54.8056,28.26,5.86
Warmbad,0,NA,1624473382,50,-28.45,18.7333,13.7,3.24
Mānsa,7,IN,1624473383,14,29.9833,75.3833,36.67,1.96
Praia,75,CV,1624473383,61,14.9215,-23.5087,27.3,7.2
Norman Wells,20,CA,1624473384,52,65.282,-126.8329,19.02,2.57
Guerrero Negro,8,MX,1624473384,57,27.9769,-114.0611,25.55,4.21
Sencha,98,UA,1624473384,83,50.2548,33.346,23.71,4.09
Gumdag,0,TM,1624473385,12,39.2061,54.5906,30.74,8.6
Benjamin Constant,40,BR,1624473385,70,-4.3831,-70.0311,30.07,2.06
Eureka,90,US,1624473386,88,40.8021,-124.1637,16.11,3.6
Tuatapere,100,NZ,1624473386,90,-46.1333,167.6833,7.68,2.85
Mabaruma,90,GY,1624473387,89,8.2,-59.7833,27.0,6.17
Sibu,40,MY,1624473387,94,2.3,111.8167,25.17,0.0
Tual,14,ID,1624473388,78,-5.6667,132.75,27.41,3.59
Tiznit Province,13,MA,1624473388,72,29.5833,-9.5,17.82,2.92
Porto de Moz,100,BR,1624473389,81,-1.7483,-52.2383,26.97,1.05
Casablanca,75,MA,1624473353,73,33.5928,-7.6192,24.12,8.49
Manacapuru,53,BR,1624473224,74,-3.2997,-60.6206,27.32,0.93
Malinovskiy,6,RU,1624473390,50,61.1953,62.8397,10.61,0.57
Moscow,0,RU,1624473198,45,55.7522,37.6156,30.0,3.0
Isangel,2,VU,1624473390,66,-19.55,169.2667,21.84,7.31
Kommunar,5,RU,1624473391,57,59.6206,30.39,28.74,4.89
Angatuba,37,BR,1624473391,56,-23.4897,-48.4128,19.59,5.27
Motygino,100,RU,1624473391,95,58.1831,94.7592,12.24,1.49
Anadyr,0,RU,1624473392,71,64.75,177.4833,12.28,1.79
Ileza,100,RU,1624473392,66,61.0533,43.9002,23.35,1.24
Povenets,12,RU,1624473393,69,62.8487,34.8262,22.37,1.69
Marsá Maţrūḩ,0,EG,1624473393,83,31.3525,27.2453,26.11,3.6
Hambantota,100,LK,1624473393,94,6.1241,81.1185,27.19,4.12
Tigil',100,RU,1624473394,86,57.8,158.6667,8.53,2.31
Pointe Michel,40,DM,1624473394,65,15.25,-61.3833,29.0,2.06
Amlapura,94,ID,1624473361,87,-8.45,115.6167,26.49,1.94
Green River,99,US,1624473395,14,41.5286,-109.4662,28.99,8.04
Charters Towers,18,AU,1624473395,96,-20.1,146.2667,15.28,2.94
Boussé,46,BF,1624473396,40,12.6606,-1.8922,29.76,4.89
Strezhevoy,23,RU,1624473396,70,60.7333,77.5889,7.99,2.18
Nabire,57,ID,1624473396,91,-3.3667,135.4833,23.29,1.44
Yumen,100,CN,1624473397,41,40.2833,97.2,20.73,3.09
Nuuk,90,GL,1624473397,100,64.1835,-51.7216,6.0,15.95
Serenje,8,ZM,1624473398,61,-13.2325,30.2352,12.71,2.53
Itoman,75,JP,1624473398,88,26.1247,127.6694,25.01,2.57
Hay River,75,CA,1624473399,71,60.8156,-115.7999,9.99,2.57
Kendari,62,ID,1624473399,90,-3.945,122.4989,24.62,0.37
Pathein,100,MM,1624473399,88,16.7833,94.7333,25.27,2.65
Troitskoye,92,RU,1624473400,92,52.9821,84.6757,9.51,4.09
Mogadishu,22,SO,1624473400,84,2.0371,45.3438,24.84,6.06
Marystown,100,CA,1624473401,94,47.1666,-55.1483,16.99,6.16
Gayny,12,RU,1624473401,73,60.3071,54.3241,16.9,2.26
Lewistown,40,US,1624473402,35,40.5992,-77.5714,25.52,2.06
Lakes Entrance,100,AU,1624473402,91,-37.8811,147.981,8.33,2.06
Bensonville,100,LR,1624473403,89,6.4461,-10.6125,23.75,2.32
Linhares,63,BR,1624473403,64,-19.3911,-40.0722,23.22,4.98
Fort-Shevchenko,85,KZ,1624473404,35,44.5086,50.263,29.26,3.57
Hamilton,1,US,1624473001,43,39.1834,-84.5333,25.68,1.34
Arrondissement de Saint-Malo,96,FR,1624473404,66,48.5,-1.8333,16.23,4.74
Prince Rupert,90,CA,1624473405,87,54.3161,-130.3201,14.05,2.57
Nhulunbuy,40,AU,1624473405,94,-12.2333,136.7667,24.34,2.06
Pangkalanbuun,93,ID,1624473406,99,-2.6833,111.6167,22.63,1.11
Kuytun,100,RU,1624473406,94,54.3419,101.5036,11.99,6.19
Lebedyn,100,UA,1624473406,85,50.5852,34.4849,23.41,3.46
Uyuni,27,BO,1624473407,21,-20.4597,-66.825,10.97,13.63
Pacific Grove,90,US,1624473407,74,36.6177,-121.9166,22.11,3.13
Buraidah,0,SA,1624473408,11,26.326,43.975,37.25,4.49
Rocha,95,UY,1624473408,80,-34.4833,-54.3333,15.83,7.29
Ambon City,40,ID,1624473408,94,-3.6954,128.1814,24.08,3.09
Soroca,100,MD,1624473409,82,48.1558,28.2975,26.34,1.33
Antigonish,100,CA,1624473409,84,45.6169,-61.9986,18.97,1.79
Ambilobe,0,MG,1624473410,74,-13.2,49.05,19.31,2.3
Cuiluan,100,CN,1624473410,93,47.72,128.648,15.15,2.19
Kazygurt,0,KZ,1624473411,25,41.7589,69.3864,23.96,1.84
Khorixas,0,NA,1624473411,31,-20.3667,14.9667,19.05,4.9
Kenai,1,US,1624473412,58,60.5544,-151.2583,15.05,6.69
Aksu,1,CN,1624473412,31,41.1231,80.2644,23.12,2.16
Adré,100,TD,1624473412,52,13.4667,22.2,25.51,3.31
Leshukonskoye,97,RU,1624473413,86,64.8989,45.7622,18.98,3.99
Chignahuapan,100,MX,1624473413,72,19.8333,-98.0333,19.02,2.04
Vryburg,5,ZA,1624473414,50,-26.9566,24.7284,11.68,3.18
Puerto Escondido,90,MX,1624473414,61,15.85,-97.0667,29.46,3.42
